EX_glc__D_e_i,EX_ala__L_e_i,EX_arg__L_e_i,EX_asn__L_e_i,EX_asp__L_e_i,EX_glu__L_e_i,EX_gln__L_e_i,EX_gly_e_i,EX_his__L_e_i,EX_ile__L_e_i,EX_leu__L_e_i,EX_lys__L_e_i,EX_met__L_e_i,EX_phe__L_e_i,EX_pro__L_e_i,EX_ser__L_e_i,EX_thr__L_e_i,EX_trp__L_e_i,EX_tyr__L_e_i,EX_val__L_e_i,EX_thm_e_i,EX_pydxn_e_i,EX_cys__L_e_i,EX_cl_e_i,EX_nh4_e_i,EX_so4_e_i,EX_pi_e_i,EX_k_e_i,EX_na1_e_i,EX_mg2_e_i,EX_ca2_e_i,EX_fe2_e_i,EX_zn2_e_i,EX_cu2_e_i,EX_mobd_e_i,EX_cit_e_i,EX_tsul_e_i,GR_AVG
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,64.36149999999999,22.323,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,0.0
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,95.05,83.7,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.3519570080833334
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2124776922457787
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,156.55,206.7,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.3166414475000001
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,187.3,268.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.206139122
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,103.8385,123.2385,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2096604045000001
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,114.8,134.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1866553634817392
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,142.3,161.7,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2630026046111111
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,180.8,200.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.3025191496666666
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,83.5,145.2,1.162,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1614140076666668
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,104.65,145.2,43.462,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2912178868333333
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,146.95,145.2,128.062,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1903843759166668
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,168.1,145.2,170.362,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1398340213636364
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,0.9368706778333333
0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2685710896666667
20.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.05723603525
200.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,0.94498256025
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,1.03,0.12061000000000001,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.167534099
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,1.23,0.22061000000000003,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2145375786666668
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,21.0,10.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1549410551666668
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,201.0,100.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.049528889
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,0.56,2.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.22009679125
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,0.66,2.1,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2460494521666667
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,10.559999999999997,12.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1634775366666668
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,100.56,102.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1967490645
2.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.23475185975
2.0,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2864817673636362
2.0,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.227574259
2.0,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.20015330525
2.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1570889705833334
2.0,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1367827818181817
2.0,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1522419429166668
2.0,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1473662045
2.0,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.0722597715
2.0,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.205391152090909
2.0,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1286889095833332
2.0,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1191333696666668
2.0,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.06169291325
2.0,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.0134549034166667
2.0,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.263646020818182
2.0,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2389054531666666
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.0,1.52,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.18272168975
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.004,1.524,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2784763218333335
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.4,1.92,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1198238600833335
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,4.0,5.52,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,0.8653750515
2.0,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.297132854
2.0,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1975559582727273
2.0,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.0650883071666666
2.0,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.0517355113333333
2.0,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.181325260818182
2.0,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2545140681666667
2.0,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1287749376363636
2.0,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.187361991818182
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1680990017500001
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2584990294166667
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.3136624604166667
2.0,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2431527460833334
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.23572865175
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.3069636430833333
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.197801291
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1744997864166666
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,0.0
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,0.3297738513333333
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2180844659166667
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.0770844820833332
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.230349774
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.123206417
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.3739945463333332
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,0.9308447277272727
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.0140167908333333
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1493160604166668
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.15574066625
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2627642510833332
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,0.9057954435833334
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,0.9323562095833333
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.14198082025
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.10791998725
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1337228333333333
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1393612215
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.26121314025
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.0,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2067433103333334
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.18234008875
