,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
1,0,0,1,0,0,1,0,0,0,0,,0.20885791030933926,0.27001476134370156,,0.2867232394225918,,,0.3066576392529052,0.26806338758213444,0.0422169110325527
2,0,0,0,0,0,0,0,0,1,1,,,,,,0.16372866300881728,0.1469840280943291,0.16198339315539328,0.15756536141951322,0.009205159038240828
3,0,0,1,0,0,0,0,1,0,0,0.09628836775579282,0.12545898290265572,0.17480951340444442,,,,0.08713266186574987,,0.1209223814821607,0.03946721645148281
4,0,0,0,1,1,0,0,0,0,0,,,0.28067947458633125,0.24902900288656366,0.2889114474967862,,,,0.27287330832322704,0.021055985391742825
5,0,0,0,1,0,1,0,0,0,0,,0.26556473869461406,,,0.2977612863973321,0.27584149729137886,0.33882102893264576,,0.29449713782899267,0.03245704151636099
6,0,1,0,0,0,0,1,0,0,0,0.2139989267896851,,0.23966903543416446,0.2391595073097461,0.26139919230879677,,,,0.23855666546059812,0.019377515722203306
7,1,0,0,0,1,0,0,0,0,0,,0.27318919163711375,0.26744751660596366,0.18436726184714536,0.2872164784472906,,,,0.25305511213437837,0.046538665606649016
8,0,1,0,1,0,0,0,0,0,0,,,0.2774202028622239,0.24373184832973205,,,,,0.260576025595978,0.023821263936941558
9,0,0,0,0,0,1,0,0,1,0,,,0.2949503303398252,0.2692050773149505,0.2807235118462105,,,,0.28162630650032877,0.012896348009003676
10,0,0,0,0,1,0,0,0,0,1,,0.1350014098061698,0.12380738686867988,0.13218489189119287,0.15077551775696438,,0.13350376167580677,,0.13505459359976274,0.009801660722508104
