,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
21,0,1,0,0,0,1,0,0,1,1,0.2923442928038293,,,,0.2713318981055782,0.24006644787699757,0.2785239725557415,,0.27056665283553666,0.022124139475200318
22,0,0,1,1,0,0,0,0,1,1,,0.26489862753342514,0.2244250460259756,,,0.23928150901539025,0.23344372172655098,,0.2405122260753355,0.01736828869161712
23,0,0,0,1,1,1,1,0,0,0,,,,0.32286931440574973,0.3290380140400668,,,0.3566465461290555,0.3361846248582907,0.017986964178616675
24,1,0,1,1,1,0,0,0,0,0,0.2965336063641634,0.2867120451990178,0.35401248957067416,0.2882203949577606,0.28485221025374274,,0.2903635953263925,0.3178874023168894,0.30265453485552013,0.02529045556459082
25,1,0,0,0,1,0,1,1,0,0,0.19557633850265427,0.21592058947467002,0.22350464498652914,0.15640078618791622,0.20143796816484175,0.20168503920598005,0.1905988051230055,0.153788864630295,0.19236412953448648,0.025322774041085298
26,0,1,0,0,0,0,1,1,0,1,0.21426176858650847,0.14659225187082298,,0.13768660735762,0.14551697159740615,0.15361861273708535,0.20666395068800725,,0.16739002713957504,0.033829940092837095
27,0,0,1,1,1,1,0,0,0,0,0.3418242808682579,,,,0.3130632791007783,,0.33190675353021387,0.31534660547947213,0.3255352297446805,0.013726945753245822
28,1,0,1,0,0,1,0,1,0,0,0.26107988197020726,0.20956818865513913,0.2643273570293065,,0.27034722415777845,0.24239746965951045,0.24998298472850464,0.26548185071353303,0.25188356527342565,0.02101360501798423
29,1,0,0,1,1,1,0,0,0,0,,,,0.34744160238994604,0.3235105005732464,,0.3252018878164672,0.3457212637602273,0.3354688136349717,0.01286949132881067
30,0,0,1,0,0,1,1,0,1,0,0.28646547227828195,0.28572460103127184,,0.3035367072117216,,,,,0.29190892684042513,0.010076764352880949
