,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
1,1,0,0,1,0,0,0,1,0,1,0.21527116919727068,0.2188030283316338,0.22192038231615963,0.2405891681294479,0.2165267739309414,0.2439063625875357,0.21604860420145647,0.22437046914419334,0.22467949472982984,0.011304278127057973
2,1,0,0,0,1,1,0,0,1,0,0.3528836507120583,,,,,0.34935602487443573,0.3536832562953022,,0.3519743106272654,0.0023024785525150517
3,0,0,1,0,0,0,1,1,1,0,0.24138618890770544,0.20040651649060262,0.20594974897994855,0.2670626576163773,0.20003023172358791,0.23845651761468517,,,0.22554864355548446,0.027598141181288876
4,0,1,0,0,1,0,0,1,0,1,,,0.10680185643769975,0.1609620363410912,,0.13428308843813797,0.13388995613917834,,0.13398423433902681,0.02211169879938872
5,1,0,1,1,0,0,0,0,0,1,,,0.24668401063890397,0.2355478466688685,0.23127226958298966,,0.2452788116238791,,0.2396957346286603,0.007487021842996263
6,1,1,0,1,0,0,0,0,1,0,0.3862607305614087,0.3535502608361409,0.3580036045147108,0.3659572263995726,0.39513870368923837,0.36581461541156546,0.3329574705249804,,0.3653832302768025,0.020686878765981118
7,0,0,0,0,1,1,1,0,0,1,0.21322146965150904,,0.1924079557087025,,0.17067806036196997,0.17910291389662458,,0.1759694724934817,0.18627597442245755,0.017063357011380387
8,0,1,0,0,1,0,1,0,0,1,,,,0.149875729111437,0.17685105299158096,0.15683161793529532,,,0.16118613334610443,0.014004941197909283
9,1,1,0,0,0,1,1,0,0,0,0.32835943449195215,,,,,0.35682842194665976,0.33185823983803536,0.35963835980061964,0.3441711140193167,0.01634073862168781
10,1,0,1,1,0,0,0,0,1,0,,0.2902714947287955,0.29966625037530736,0.30155499174352035,0.2984793582766947,0.30787464872600245,0.28762553792782064,0.28907806924026663,0.2963643358597725,0.007543044850139597
