,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
11,0,0,0,0,0,0,1,1,0,0,0.08008793619068091,0.06962799157259755,0.06778836400709516,0.07103742833595339,0.06540124748393565,0.07429478633378137,,0.06432721530817052,0.07036642417603066,0.005457514268631514
12,0,0,0,1,0,0,1,0,0,0,,0.2055758847056131,0.19256580377241014,0.2172397478336464,,0.22276187055324442,,,0.2095358267162285,0.013390810973738952
13,1,0,0,0,0,0,1,0,0,0,,0.09812162434023229,0.1255272381307888,0.11244909244649215,0.09403684369498261,,0.13758599791408932,,0.11354415930531703,0.018311153024342015
14,0,0,0,1,0,0,0,0,1,0,,0.26082645428060014,0.18911966803887892,0.20801119306058424,,,,,0.21931910512668776,0.037166752007002465
15,0,1,0,0,0,1,0,0,0,0,0.36783177858181065,,0.323784467869693,0.294795345309855,0.3534078238711465,0.33933313996269826,0.31023527932967354,,0.3315646391541462,0.027277218887578003
16,0,0,0,0,0,0,0,1,1,0,,0.1498416344895746,0.1624051236834536,0.12203034811862429,0.14688927201689447,0.12460673808021018,0.12924252207689352,0.12241212923931512,0.13677539538642366,0.016116452833737322
17,1,0,0,0,0,0,0,0,0,1,,,0.14410040329267546,0.14232040251754877,0.12728544749601112,0.1251482522771697,0.14227284281776822,,0.13622546968023466,0.009197312781533755
18,0,0,0,0,1,0,0,1,0,0,,,0.11243358628907199,0.10247511893197002,0.10759541422547753,,0.12089115774623926,0.09351782448881037,0.10738262033631382,0.01029993028103987
19,0,0,1,0,0,0,0,0,1,0,,0.22084967758066407,0.22384330702019276,0.2502353982580303,0.22526605107242648,,0.22761714814212874,0.21828045808770122,0.2276820066935239,0.01152650833282015
20,0,0,0,0,0,1,0,0,0,1,,0.18967486728281757,0.20483658869217466,0.2092667357831538,0.1898866268216983,0.2047615704358029,0.21397320437554357,,0.20206659889853182,0.010103976171927796
