,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
1,0,0,0,0,1,0,1,0,0,1,,0.14146268112923827,0.1619469922087855,0.14214996505847957,,0.1340063182024374,,,0.1448914891497352,0.011953379019249871
2,0,1,0,0,0,1,0,0,0,1,0.21253325837474088,0.26205922691355793,,,,0.2262471788556135,0.27210680966554884,0.23131692582939514,0.24085267992777126,0.025163362084675563
3,1,0,1,0,1,0,0,0,0,0,,,,0.23943420692604256,0.2099016775243287,,0.24719048958135498,0.27838150306622095,0.24372696927448678,0.02813959757946126
4,0,0,0,0,0,0,1,1,0,1,,,,0.14227841007658545,0.09670693466844112,0.07880425594269126,,,0.10592986689590594,0.03272673096885245
5,0,0,1,0,0,0,1,0,0,1,0.11288306553891299,0.1151828793435901,,0.1389960353580366,0.09695077698044129,0.09128920671647191,,0.09411998165491521,0.10823699093206135,0.01805461799755351
6,0,1,1,0,1,0,0,0,0,0,,0.28013689971592326,0.21008916147779538,,,,,,0.24511303059685932,0.04953123071496045
7,1,0,0,1,0,0,0,0,1,0,0.30327017008983126,0.2974995170917964,0.281563796029106,0.35360213113246197,,,0.3135698517625254,,0.30990109322114423,0.02703706320949392
8,0,0,1,1,0,0,1,0,0,0,,0.18670561353155601,0.17619245017945517,0.19934693808679585,,,,0.23755512317490282,0.19995003124317745,0.026797661086172164
9,1,0,0,0,0,0,0,0,1,1,0.23097559392540468,0.17341488414793046,0.20654457818023836,0.219584843970888,0.20620543975487457,0.2080369105619735,0.20070024587229632,0.21637155853676018,0.2077292568687958,0.01684526136848057
10,0,1,0,0,1,1,0,0,0,0,0.3881094180073379,0.36891898151995195,0.36359653866821984,0.3706580266863544,0.38182602519766207,0.39055709126685073,0.4171791476771695,0.388456114394383,0.3836626679272412,0.016929087334938517
