,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
11,0,0,0,0,0,1,0,0,1,1,,0.26585818775908127,0.27135895788937303,0.21185300330151452,0.2097726499376883,0.20244027107599463,0.20398598869784787,,0.22754484311024992,0.032046631264618236
12,0,0,1,0,0,1,0,1,0,0,0.22868124409529356,0.23991816764354357,0.20391786852223714,0.20663821484830858,0.1999551510842868,,0.2119364089736361,0.20070895148525092,0.21310800095036525,0.015360849159567156
13,0,1,0,0,0,0,1,0,0,1,0.2596835139730556,0.2538684754945677,,0.26617970574252486,0.253968253436606,0.28892234310766823,0.26676294373606163,0.247717734489289,0.2624432814256818,0.01356203341347961
14,1,0,1,0,0,0,0,0,0,1,0.2061880906207151,0.20607942751061917,0.14953565729260893,0.18918887793216163,0.1598697927970533,0.19645777440371615,0.18355105378558526,0.19880092035008923,0.18620894933656862,0.021085621500136265
15,0,1,0,0,1,0,0,1,0,0,0.15935455818473088,0.18358688015434,0.16205519292212617,0.14977977608669416,0.16044451224363204,0.16657927294448793,0.178845446523873,0.18950499544481825,0.1687688293130878,0.013729402232625375
16,0,1,0,1,1,0,0,0,0,0,0.35657105302215614,0.3699219209854606,0.35229465854525854,0.2990438307576496,0.31003831805172477,0.484692214891346,,,0.36209366604226595,0.06618647375663067
17,1,0,1,0,0,0,0,0,1,0,,,,,,0.2874331377492316,0.22679661785363084,0.2505218764530096,0.25491721068529066,0.030556277726884438
18,0,0,0,1,0,1,0,0,0,1,0.24839558842755444,0.2382535033818733,,0.2646824392500172,0.27019052151535233,0.22597614136463576,0.21002077180290418,,0.24291982762372286,0.0229717083665384
19,1,0,0,0,0,1,0,1,0,0,0.2061990165773603,0.15846517025246845,0.17144850723106067,0.2010522574712614,0.22779496542885483,,,0.1967079686798528,0.19361131427347641,0.02497346838280093
20,1,1,0,0,1,0,0,0,0,0,0.33991685480031947,0.3389514469813815,0.3160899343216906,0.3056546247325202,0.34485457766309163,0.3561420278708391,0.3464647796005592,0.340759239775486,0.33610418571823597,0.016722462551945833
