,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
11,1,0,0,1,1,0,0,0,1,0,,,0.39521678133959964,0.41344011234138023,0.426573062726034,,0.3965202011394906,0.4355335290880727,0.41345673732691546,0.017881311859581053
12,1,0,0,0,0,1,1,0,1,0,0.26910524798306795,0.19969084112303873,0.2991576658653269,,0.25637924727919953,,,,0.2560832505626583,0.04165400791818967
13,0,0,0,1,1,1,0,0,1,0,0.4030923018880613,0.3442091683080746,,0.40945593871751657,0.3749161458586597,0.4428107330227538,,,0.39489685755901316,0.037226812566810034
14,0,0,0,1,0,1,1,0,1,0,0.4380323213297155,,0.36698128605503205,0.4056584639885663,0.4533395929995315,0.4386807157699596,,,0.420538476028561,0.034644177421932876
15,0,1,1,0,0,1,0,1,0,0,0.3033947639720959,0.30700905457271127,0.282102304989817,,0.3078681230338597,0.32416077190364057,0.3053932763875617,,0.30498804914328104,0.013464268556595473
16,0,0,0,0,1,0,1,0,1,1,0.23768212834615862,0.23484415698635333,0.22594979255784872,0.23141438900801545,0.2276351324348144,,,,0.2315051198666381,0.00487727636498757
17,0,0,0,1,0,1,1,0,0,1,0.26918368940562737,0.28698005401634635,0.2956375389234243,0.28468004025745597,0.23134888025441322,0.2563672103629752,0.271514276618953,,0.2708159556913136,0.021753046300528447
18,0,1,1,1,0,0,0,1,0,0,,0.36756000507685976,0.34416572303382387,0.33527710583535847,0.3187260244435327,0.3229260073450834,0.32193778837398035,,0.33509877568477314,0.01857647764659854
19,0,1,0,1,0,0,0,1,0,1,0.2818827512641535,0.29754534458288623,0.302039430471856,0.2764919104678435,0.2597370180323864,0.2708494714433166,0.26725237393639517,0.2721185573881513,0.2784896071983736,0.0146877815314563
20,0,0,1,0,0,0,1,1,0,1,0.08943006161691087,,,,,,,0.06362872894044361,0.07652939527867725,0.01824429729918006
