,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
31,0,0,1,1,0,1,0,0,0,0,0.3370506313944273,,,,0.2888306778826054,0.2830954434270735,0.31041075913548655,,0.3048468779598982,0.024479120886717894
32,0,0,1,0,0,0,1,0,1,0,,0.21162766625051804,0.26240722671085553,,,,,,0.2370174464806868,0.03590657154717692
33,0,0,1,1,1,0,0,0,0,0,0.26331601269784866,0.2921088870039014,,,0.31619535426004886,0.26650265386057637,0.333631894322304,0.31456143956225047,0.29771937361782164,0.028650579695202006
34,0,0,0,0,1,1,0,0,0,1,0.22551422178199876,0.23997920423215505,0.23213470489200466,0.20581313265563475,0.2505900439883605,0.26285523896704227,0.3167964298666507,0.2350045749469869,0.2460859439163542,0.03316902633012091
35,0,1,0,1,0,0,0,0,0,1,,0.2341827704923746,,,0.21784119941813707,,0.2409084870199366,,0.23097748564348275,0.011862981393727948
36,1,0,0,0,0,0,1,0,1,0,0.21367737657149335,,,,,,0.17617238666482982,0.22139257715511956,0.20374744679714754,0.02419026738147187
37,0,0,1,0,0,1,0,0,1,0,,,,,,0.33061646649252047,0.34975694512607247,,0.34018670580929644,0.013534362236940847
38,0,0,1,1,0,0,0,1,0,0,0.21799325839517641,0.1867849494147307,0.18558339095500714,0.1772293648051425,0.20965704346835878,0.23743823374257114,0.23006453307903,0.18794447499782857,0.20408690610723065,0.022788482703822572
39,0,0,1,0,1,0,0,0,0,1,,0.16662709387401536,0.22952760800682742,0.13090073959322074,,,,0.1388400301638032,0.1664738679094667,0.044739520431118784
40,1,0,0,0,0,0,1,0,0,1,0.15028756476132837,0.1377283562244862,0.10324376154292876,0.10103592117872272,0.1107572136611635,0.1545134954457775,0.1362124864232708,0.16211963291622783,0.13198730401923822,0.02401188397850484
