,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
21,0,1,1,0,0,1,0,0,0,0,0.3833111344731523,0.3276937365858991,,0.3826944218455247,0.3807892017149509,0.3724134065315089,0.3646648289503333,0.37027557459193877,0.36883461495618686,0.01944830374408232
22,1,0,0,0,0,0,0,1,0,1,,0.16887595810399855,0.20540910319279188,,0.15529948808945715,,,,0.17652818312874918,0.02591641935768043
23,0,0,1,0,0,0,1,1,0,0,,0.11940279572611187,0.19751610782317586,,,,,,0.15845945177464388,0.055234452684775115
24,0,0,0,0,0,0,0,1,1,1,,0.19819471891045684,,0.14120971642494598,0.1805319448755865,0.13172166290523613,0.12874579744331568,0.14262117425054918,0.1538375024683484,0.028580157192070615
25,0,0,0,0,0,1,0,1,1,0,0.1841386915304675,0.17682712869568526,0.16516704994239198,,0.21191209849588946,0.1574755788454159,0.2183303635138836,0.20707156333742602,0.1887032106230228,0.023961111022751967
26,0,1,0,0,0,0,0,1,1,0,,0.14394358153657408,0.17097238260231853,0.15362312646115736,0.1959441178761112,0.16286361256732818,,,0.16546936420869787,0.019808309068199824
27,0,0,0,0,1,1,1,0,0,0,,0.17560402257951735,0.17302672445459813,0.13471119583677627,0.20578246570235784,0.1527662583465741,0.18173984003966076,,0.1706050844932474,0.02449032304024025
28,1,0,0,1,0,0,0,0,0,1,0.2094307756476565,0.18108765436790947,,0.21836201294597235,0.20830571140601573,0.20936140395657232,0.24605605451541002,0.23572932282209946,0.215476133665948,0.02106169614164731
29,0,0,0,0,1,0,0,1,0,1,0.15790609350158522,0.1709116853806548,0.14882303055648954,0.14847064692801462,0.12882715863151295,0.17453274242511466,,,0.1549118929038953,0.016786384893247047
30,1,0,0,1,0,0,1,0,0,0,,,0.295674224383031,0.302384719200861,,0.3088884783234862,0.3019311492943804,,0.30221964280043967,0.005398343826687794
